Token,Address
BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56
ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8
USDT,0x55d398326f99059ff775485246999027b3197955
USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d
XRP,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe
ADA,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47
DOGE,0xba2ae424d960c26247dd6c32edc70b295c744c43
MATIC,0xcc42724c6683b7e57334c4e856f4c9965ed682bd
DOT,0x7083609fce4d1d8dc0c979aab8c869ea2c873402
LTC,0x4338665cbb7b2485a8855a139b75d5e34ab0db94
AVAX,0x1ce0c2827e2ef14d5c4f29a091d735a204794041
TRX,0xCE7de646e7208a4Ef112cb6ed5038FA6cC6b12e3
DAI,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3
LINK,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd
UNI,0xbf5140a22578168fd562dccf235e5d43a02ce9b1
ATOM,0x0eb3a705fc54725037cc9e008bdede697f62f335
ETC,0x3d6545b08693dae087e957cb1180ee38b9e3c25e
TON,0x76a797a59ba2c17726896976b7b3747bfd1d220f
FIL,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153
BCH,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf
TUSD,0x14016e85a25aeb13065688cafb43044c2ef86784
NEAR,0x1fa4a73a3f0133f0025378af00236f3abdee5d63
BTCB,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c
FTM,0xad29abb318791d579433d831ed122afeaf29dcfe
EOS,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6
AAVE,0xfb6115445bff7b52feb98650c87f44907e58f802
WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
EGLD,0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe
AXS,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0
XTZ,0x16939ef78684453bfdfb47825f8a5f714f12623a
FRAX,0x90C97F71E18723b0Cf0dfa30ee176Ab653E89F40
USDP,0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094
SNX,0x9ac983826058b8a9c7aa1c9171441191232e8404
MKR,0x5f0da599bb2cccfcf6fdfd7d81743b6020864350
LUNC,0x156ab3346823B651294766e23e6Cf87254d68962
FXS,0xe48A3d7d0Bc88d552f730B62c006bC925eadB9eE
BTTOLD,0x8595f9da7b868b1822194faed312235e43007b49
USDD,0xd17479997f34dd9156deef8f95a52d81d265be9c
ZEC,0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb
INJ,0xa2b726b1145a4773f68593cf171187d8ebe4d495
CAKE,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
BTT,0x352Cb5E19b12FC216548a2677bD0fce83BaE434B
TWT,0x4b0f1812e5df2a09796481ff14017e6005508003
PAXG,0x7950865a9140cb519342433146ed5b40c6f210f7
ZIL,0xb86abcb37c3a4b64f74f59301aff131a1becc787
1INCH,0x111111111117dc0aa78b770fa6a738034120c302
ROSE,0x6c6D604D3f07aBE287C1A3dF0281e999A83495C0
BAT,0x101d82428437127bf1608f699cd651e6abf9766e
MASK,0x2ed9a5c8c13b93955103b9a7c167b67ef4d568a3
FLOKI,0xfb5b838b6cfeedc2873ab27866079ac55363d37e
ANKR,0xf307910a4c7bbc79691fd374889b36d8531b08e3
